
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
Lanet Network Ltd (3)                                    4615978 (0.0%)
GloboTech Communications (1)                             4595880 (0.0%)
Flashdance Ab (2)                                        4563915 (0.0%)
Global Data Networks LLC (4)                             4517907 (0.0%)
Priority Colo Inc (1)                                    4427085 (0.0%)
TIS Dialog LLC (1)                                       4419722 (0.0%)
OTK LLC. (1)                                             4419584 (0.0%)
Carnegie Mellon University (1)                           4415087 (0.0%)
HostDime.com, Inc. (4)                                   4391784 (0.0%)
GARS Telecom - Telecommunications Management LLC (1)     4331581 (0.0%)
Octopuce s.a.r.l. (1)                                    4329438 (0.0%)
Inovare-Prim SRL (1)                                     4267098 (0.0%)
Sunrise Communications AG (1)                            4263675 (0.0%)
Wholesale Services Provider (2)                          4189628 (0.0%)
Optima Telecom Ltd. (4)                                  4184260 (0.0%)
Rices Privately owned enterprise (1)                     4156319 (0.0%)
Netelligent Hosting Services Inc. (2)                    4111714 (0.0%)
SWITCH, LTD (1)                                          4093952 (0.0%)
GTT a.s. (2)                                             4083658 (0.0%)
Cloudlayer8 Limited (1)                                  4068352 (0.0%)
Vodafone Italia S.p.A. (7)                               4067927 (0.0%)
SC Fastweb SRL (1)                                       4057088 (0.0%)
NovaTrend Services GmbH (1)                              4056531 (0.0%)
KAMP Netzwerkdienste GmbH (1)                            4054670 (0.0%)
TELEFÔNICA BRASIL S.A (7)                               4007428 (0.0%)
Proximus NV (8)                                          3983791 (0.0%)
Genossenschaft GGA Maur (1)                              3961856 (0.0%)
DA International Group Ltd. (1)                          3938132 (0.0%)
First Colo GmbH (4)                                      3925375 (0.0%)
CityNet Telekom Ltd. (1)                                 3908608 (0.0%)
Telia Stofa A/S (3)                                      3907431 (0.0%)
Plusine Systems B.V. (1)                                 3904063 (0.0%)
Portlane AB (2)                                          3875235 (0.0%)
Shaw Communications Inc. (7)                             3833179 (0.0%)
Livenet Sp. z o.o. (2)                                   3823643 (0.0%)
Bell Canada (4)                                          3813404 (0.0%)
WideOpenWest Finance LLC (3)                             3806081 (0.0%)
Associação Rede Nacional de Ensino e Pesquisa (6)      3787840 (0.0%)
Gigabit ApS (1)                                          3743850 (0.0%)
Tele Columbus AG (4)                                     3742908 (0.0%)
GoDaddy.com, LLC (1)                                     3720920 (0.0%)
Limestone Networks, Inc. (2)                             3716242 (0.0%)
kabelplus GmbH (1)                                       3707293 (0.0%)
Cyber Wurx LLC (1)                                       3698548 (0.0%)
LLC CloudSol (1)                                         3695616 (0.0%)
University of California at Berkeley (1)                 3693568 (0.0%)
AS33891 Netzbetrieb GmbH (3)                             3643576 (0.0%)
CDLAN s.r.l. (1)                                         3628441 (0.0%)
Verein zur Foerderung freier Netze (ZVR: 814804682 (1)   3623678 (0.0%)
ISTS Sp. z o.o. (1)                                      3620864 (0.0%)
Sharktech (1)                                            3611062 (0.0%)
Netia SA (4)                                             3595172 (0.0%)
Delta Softmedia Ltd. (1)                                 3550839 (0.0%)
MyRepublic Ltd. (1)                                      3510533 (0.0%)
Horyzont Technologie Internetowe sp.z.o.o. (1)           3498726 (0.0%)
T-2, d.o.o. (2)                                          3478487 (0.0%)
